artist_id,singer_name,avg_track_popularity,song_portfolio_score
3MdG05syQeRYPPcClLaUGl,Diana Ross,52.8,21.952
2zvJLk0gTH7r7A5Q6X5Bq8,Javed-Mohsin,58.7,25.728
3ppQEG71r7jVpI8RudzycF,OHGEESY,65,29.76
2NrprO4CludRmaWtpqud10,Rivo,60.7,27.008
6YzSM19LzpLH0nVKKU6Jsy,Mc Daniel,63.1,28.544
5T0MSzX9RC5NA6gAI6irSn,Estelle,46.6,17.984
3R0YzDT1gl2mMDLMrgdNjR,Suchitra,52.7,21.888
34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,63,28.48
6ugw7JCu0AG7txRcRAxU8d,Mc Rd,59.7,26.368
03d2mJXSMtuPI0nIvLnhoS,Zoe Wees,58.9,25.856
5sWHDYs0csV6RS48xBl0tH,Two Feet,64.1,29.184
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,61.7,27.648
67ea9eGLXYMsO2eYQRui3w,The Who,63.5,28.8
2DMQ1LeygTDGeyErwBwaeG,Mc Talibã,55.5,23.68
1yevH7mkPMXeSTnA9SwHvq,SEKIMANE,68.7,32.128
74cb3MG0x0BOnYNW1uXYnM,Hillsong UNITED,62,27.84
5TNSXFCNwlq2CfiMcNOCDP,Lijo George-Dj Chetas,49.4,19.776
66TrUkUZ3RM29dqeDQRgyA,Ella Eyre,52.8,21.952
5xUf6j4upBrXZPg6AI4MRK,Soundgarden,65.9,30.336
0e7Xsukwik0zDaqCcSvJTg,Prasoon Joshi,59.8,26.432
2kU94AZG0xEVKnOUKDbEfg,i wanna be a jack-o-lantern,57.6,25.024
2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,62.9,28.416
3YBJLs7RqR0aPGBgU27nDh,Werenoi,70.9,33.536
3t4P7aXVor3NxlJPZxLzOQ,Kunal Ganjawala,51.4,21.056
2myuqB0gKAo75dE2eSWgzt,Silent Addy,45,16.96
1Db5GsIoVWYktPoD2nnPZZ,Gloria Trevi,62.7,28.288
7I3bkknknQkIiatWiupQgD,Beach Weather,51.6,21.184
2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,71.3,33.792
6XTGKOV9jceQ6f67lnhpbF,LATIN MAFIA,73.7,35.328
0I6yADrmeyvw66g7yjkqIF,The Living Tombstone,58.6,25.664
5IREutgMnyQqRcc8r15gWk,CountryBeat,69,32.32
583d9476xT4d6A0pADiRJg,Rafa e Junior,47.6,18.624
1wxPItEzr7U7rGSMPqZ25r,Shiloh Dynasty,62.6,28.224
3VHAySZQPlfGlNLslzXYpN,NATHY PELUSO,62.9,28.416
