artist_id,artist_name,avg_track_popularity,song_portfolio_score
5lpH0xAS4fVfLkACg9DAuM,Wham!,66.7,29.19514884
3c0gDdb9lhnHGFtP4prQpn,KATSEYE,81.7,35.81036384
5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green,55.7,24.34399118
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,68.3,29.90077178
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,68.2,29.85667034
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,65.4,28.62183021
3MdG05syQeRYPPcClLaUGl,Diana Ross,53.6,23.41786108
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,64,28.00441014
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,79,34.61962514
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,73.6,32.23814774
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,61.4,26.85777288
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,63.8,27.91620728
26dSoYclwsYLMAKD3tpOr4,Britney Spears,77.5,33.95810364
31TPClRtHm23RisEBtV3X7,Justin Timberlake,79,34.61962514
4cAERazLlAzVGA10ORWaUP,Manoj Muntashir,70,30.65049614
4r63FhuTkUYltbVAg5TQnk,DaBaby,71.6,31.35611907
6fOMl44jA4Sp5b9PpYCkzz,NF,76.7,33.60529217
6FBDaR13swtiWwGhX1WQsP,blink-182,72.7,31.84123484
1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy,73.8,32.32635061
5SXuuuRpukkTvsLuUknva1,Baby Keem,70.1,30.69459757
5sWHDYs0csV6RS48xBl0tH,Two Feet,64.2,28.09261301
2wY79sveU1sp5g7SokKOiI,Sam Smith,78.1,34.22271224
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,70.8,31.00330761
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,70.2,30.73869901
6AyATGg7mDgBlZ4N5uNog0,SYML,68.9,30.16538037
5kPOMQZvgkAEnRZqwn9SYQ,Jaideep Sahni,66.8,29.23925028
5xUf6j4upBrXZPg6AI4MRK,Soundgarden,66,28.88643881
0e7Xsukwik0zDaqCcSvJTg,Prasoon Joshi,60.1,26.28445424
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,72.1,31.57662624
4S9EykWXhStSc15wEx8QFK,Céline Dion,73,31.97353914
3hYtANQYrE6pd2PbtEyTIy,Los Tigres Del Norte,71.2,31.17971334
1GKIlPFdcewHtpDVCQ8zmJ,Brray,62.8,27.47519294
1DuBkL1pAgaZQHXKPiVr08,Léo Foguete,69.7,30.51819184
1Db5GsIoVWYktPoD2nnPZZ,Gloria Trevi,62.9,27.51929438
7I3bkknknQkIiatWiupQgD,Beach Weather,51.9,22.66813671
2myuqB0gKAo75dE2eSWgzt,Silent Addy,45,19.62513782
2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,71.3,31.22381477
6XTGKOV9jceQ6f67lnhpbF,LATIN MAFIA,74.1,32.45865491
4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON,75.6,33.12017641
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,75.4,33.03197354
6AgTAQt8XS6jRWi4sX7w49,Polo G,72.5,31.75303197
61if35zz1W11GejEkxTLEQ,Benny Dayal,65.2,28.53362734
6n28c9qs9hNGriNa72b26u,PNAU,56.9,24.87320838
26bcq2nyj5GB7uRr558iQg,Survivor,54.5,23.81477398
47MpMsUfWtgyIIBEFOr4FE,Lunay,63.7,27.87210584
6tbjWDEIzxoDsBA1FuhfPW,Madonna,72.4,31.70893054
5y8tKLUfMvliMe8IKamR32,d4vd,74,32.41455347
0xliTEbFfy5HQHvsTknTkX,Alphaville,64.3,28.13671444
6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,64.2,28.09261301
7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,61.5,26.90187431
0mJDQBWytBhOh5JB1DOQ1c,Jasmine Sandlas,63.7,27.87210584
4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,60.4,26.41675854
3AMxH9QIPZbK8ND8C9j4Ss,Mani Sharma,54.9,23.99117971
4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,64.2,28.09261301
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,82.3,36.07497244
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77.5,33.95810364
20sxb77xiYeusSH8cVdatc,Meek Mill,68.2,29.85667034
1SXhEXzOTF7YeuQX59m7pT,NATTAN,68.3,29.90077178
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,63.4,27.73980154
4m6ubhNsdwF4psNf3R8kwR,KHEA,67.6,29.59206174
5ixQ5hSywFLUaxoaA0uVaH,Anand Raj Anand,55.7,24.34399118
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,59.2,25.88754135
5YwzDz4RJfTiMHS4tdR5Lf,Xamã,66.7,29.19514884
4AKwRarlmsUlLjIwt38NLw,Ofenbach,64.1,28.04851158
4stSxe6AbpXw3x7nRDsYVX,Remmy Valenzuela,67.9,29.72436604
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,62,27.12238148
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,68.6,30.03307607
5r3wPya2PpeTTsXsGhQU8O,Shubh,74.3,32.54685777
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,70.3,30.78280044
3SUT1jjM5hzZj9TLfLZGIP,Tego Calderón,65.6,28.71003308
5iNrZmtVMtYev5M9yoWpEq,Seeb,58.3,25.49062845
