rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
1,The Weeknd,https://kworb.net/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_albums.html,"120,539,344","162,481",1,"126,192,069"
2,Bruno Mars,https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,"114,285,513","259,588",1,"151,079,821"
3,Justin Bieber,https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,"107,395,527","451,444",3,"107,395,527"
4,Taylor Swift,https://kworb.net/spotify/artist/06HL4z0CvFAxyc27GXpf02_albums.html,"106,103,812","195,356",1,"116,229,071"
5,Ariana Grande,https://kworb.net/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_albums.html,"105,511,137","859,800",2,"123,700,287"
6,Rihanna,https://kworb.net/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_albums.html,"99,984,241","-103,446",2,"102,670,137"
7,Lady Gaga,https://kworb.net/spotify/artist/1HY2Jd0NmPuamShAr6KMms_albums.html,"97,717,691","131,779",2,"124,637,761"
8,Ed Sheeran,https://kworb.net/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_albums.html,"97,574,280","192,878",2,"100,809,268"
9,Coldplay,https://kworb.net/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_albums.html,"93,705,719","238,552",4,"98,296,633"
10,Billie Eilish,https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,"93,141,411","350,425",1,"108,297,865"
11,Drake,https://kworb.net/spotify/artist/3TVXtAsR1Inumwj472S9r4_albums.html,"81,110,545","186,064",3,"86,591,246"
12,Bad Bunny,https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,"78,784,647","541,863",3,"95,350,887"
13,Sia,https://kworb.net/spotify/artist/5WUlDfRSoLAfcVSX1WnrxN_albums.html,"77,835,134","572,002",8,"93,545,630"
14,David Guetta,https://kworb.net/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_albums.html,"75,945,937","-97,783",4,"82,747,865"
15,Sabrina Carpenter,https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,"74,590,602","319,222",4,"90,844,193"
16,Maroon 5,https://kworb.net/spotify/artist/04gDigrS5kc9YWfZHwBETP_albums.html,"73,364,146","41,325",14,"75,143,583"
17,Eminem,https://kworb.net/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_albums.html,"72,063,108","49,283",5,"86,389,533"
18,Kendrick Lamar,https://kworb.net/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_albums.html,"71,155,820","403,111",4,"112,091,210"
19,Mariah Carey,https://kworb.net/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_albums.html,"68,781,534","1,124,538",5,"100,610,625"
20,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_albums.html,"67,565,781","43,900",3,"82,268,835"
21,SZA,https://kworb.net/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_albums.html,"67,470,384","358,224",6,"97,852,020"
22,Kanye West,https://kworb.net/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_albums.html,"65,822,214","120,440",6,"78,581,428"
23,J Balvin,https://kworb.net/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_albums.html,"65,805,790","-3,902",18,"70,482,988"
24,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_albums.html,"64,910,114","156,917",20,"68,464,762"
25,Post Malone,https://kworb.net/spotify/artist/246dkjvS1zLTtiykXe5h60_albums.html,"63,341,348","186,575",3,"98,466,468"
