artist_id,name,genres,followers,popularity
7qYeIN2r4H1kBvr0Gm9Iav,Randy Nota Loca,['reggaeton'],822935,71
4PY2xnTu90K0hvkgcljRJl,Deepthi Suresh,"['tamil pop', 'tamil dance', 'kollywood']",160513,70
1eClJfHLoDI4rZe5HxzBFv,INXS,[],3100806,70
5GGJosGMs08YEmKTZJe1fL,Suki Waterhouse,[],1435360,69
4HQeSXwG2BVH0KvxHE5oCf,Suzanne D'Mello,"['bollywood', 'hindi pop']",1386842,64
7G1GBhoKtEPnP86X2PvEYO,Nina Simone,"['vocal jazz', 'jazz blues', 'soul', 'soul jazz', 'jazz', 'blues']",3253796,70
6Wlvsn3IPHiZwAv02lB5eC,Ícaro e Gilmar,"['sertanejo', 'sertanejo universitário', 'agronejo', 'sertanejo tradicional']",850221,78
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,['r&b'],8744141,75
0RESbWvOMyua0yuyVrztJ5,Key Glock,[],2423599,74
0oAZhL6hFrM3YRr6QzjlOf,MJ Records,"['sertanejo', 'sertanejo universitário']",52551,80
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['emo', 'screamo', 'post-hardcore']",3990292,78
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,"['synthpop', 'new wave']",2220424,70
7gJN8W0589FisSYJS17K54,Filipe Ret,"['brazilian hip hop', 'brazilian trap', 'trap funk', 'trap']",9381615,78
6IKlXZEFOvk9itrP1s0knJ,The Red Clay Strays,['country'],1196138,74
0ZUvK7zGdXLd78mQr3t1Tw,Ricky Montgomery,[],2420744,69
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",7237551,72
0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,['latin pop'],14648871,77
4gwpcMTbLWtBUlOijbVpuu,Capital Cities,[],1005808,67
4xPQFgDA5M2xa0ZGo5iIsv,¥$,[],1049741,71
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,[],1644302,68
