track_id,track_name,popularity,album_id
53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,100,4a6NzYL1YHRUgx9e3YZI6I
1CPZ5BxNNd0n0nF4Orb9JS,Golden,99,14JkAa6IiFaOh5s0nMyMU9
1qbmS6ep2hbBRaEZFpn7BX,Man I Need,96,0Bv6OJO0L5gcf20DMww54a
6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),93,0l8zYqoUeBYg47Gmevq9HZ
3yWuTOYDztXjZxdE2cIRUa,Opalite,96,4a6NzYL1YHRUgx9e3YZI6I
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,91,1eCGY9WJpYgtaFh1Lk2KNo
0FTmksd2dxiE5e3rWyJXs6,back to friends,92,0QLILSOq1IqAqx62drmv4E
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,92,4xkM0BwLM9H2IUcbYzpcBI
6Qyc6fS4DsZjB2mRW9DsQs,Iris,93,4UMjBXcRqIgMZ1XumU2x5T
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,85,34wa3zf2prXFMk47t9zHFG
70LcF31zb1H0PyJoS1Sx1r,Creep,91,3gBVdu4a1MMJVMy6vwPEb8
0InIeZW4P6VO7dUGRM4AKH,Sienna,88,03guxdOi12XJbnvxvxbpwG
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,88,61ulfFSmmxMhc2wCdmdMkN
1NXbNEAcPvY5G1xvfN57aA,Dracula,85,5WulAOx9ilWy1h8UGZ1gkI
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,87,6egzU9NKfora01qaNbvwfZ
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,95,7aJuG4TFXa2hmE4z1yxc3n
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,89,0BwWUstDMUbgq2NYONRqlu
4gfrYDtaRmp6HPvN80V2ob,I Got Better,85,5IZ8sY5FjtL9hloXpv0XbD
3HfKlhohNNTLIv2t9uvmzz,FEAR,78,6KLrnVqUhPpX4IzgHgsJTg
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,89,4piJq7R3gjUOxnYs6lDCTg
4ThbwJaIWVxXZ1qJaHQBCz,Travelin' Soldier,80,7Liu0RVrXQNZfnOAOlqQYv
7D0RhFcb3CrfPuTJ0obrod,Sparks,91,6ZG5lRT77aJ3btmArcykra
1I37Zz2g3hk9eWxaNkj031,Your Idol,92,14JkAa6IiFaOh5s0nMyMU9
7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock,83,3wivyOdotHWZ9dcuXMjPKT
55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,93,01sqwTOTrN9gaYQc1rr6Zw
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,90,03guxdOi12XJbnvxvxbpwG
58ge6dfP91o9oXMzq3XkIS,505,82,6rsQnwaoJHxXJRCDBPkBRw
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,93,14JkAa6IiFaOh5s0nMyMU9
2plbrEY59IikOBgBGLjaoe,Die With A Smile,91,10FLjwfpbxLmW8c25Xyc2N
1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,93,4a6NzYL1YHRUgx9e3YZI6I
03bTIHJElXZ0O0jqOQvAbY,Father Figure,92,4a6NzYL1YHRUgx9e3YZI6I
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,88,2Q2TRdT994vTzGE3Grmmht
7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,88,74sFrKGdI7ZBBVKrT9jtdV
04a44cx2PJthIbN2aLMXhl,TIT FOR TAT,90,1ks1k7zln4TyBjn1CF3vCz
17phhZDn6oGtzMe56NuWvj,Lose Control,89,7nacKlk586eLRBSIsrk9DB
3RXUgPNIbUgFxsDWuBQEt6,How It’s Done,92,14JkAa6IiFaOh5s0nMyMU9
5sBDrrtLGbV64QJnEqfjer,What It Sounds Like,92,14JkAa6IiFaOh5s0nMyMU9
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),91,3OxfaVgvTxUTy7276t7SPU
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,85,27MNgBEnLCKoafz1g2Zu97
04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),86,5IZ8sY5FjtL9hloXpv0XbD
6LxSe8YmdPxy095Ux6znaQ,Headlines,86,6X1x82kppWZmDzlXXK3y3q
4AajxCEwGEsmHmT4H1TwjY,undressed,84,19m6pwPmwNFSPV7wtHtg7D
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,89,1uE3dRPe3SrGdNhd1nWlSa
42UBPzRMh5yyz0EDPr6fr1,Manchild,86,3wRHV5fOeUcM5hvYzWZsic
3cZajhyr8LmtPfHZ9296tj,No Broke Boys,93,520FALYwo6yPbp5kBchA8N
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),86,6PbnGueEO6LGodPfvNldYf
65DbTqJKhbwqYbZ1Okr0rc,Choosin' Texas,82,4ggV0IaczfDFjVSwBM8yvi
05od2qm2MTSKCHxy1GBp5W,12 to 12,89,7mvXPtV4jvA1hp5Wx2FAJA
48axmFD7PUPnTOdSFMYrvj,WHO I WAS,65,65NFxecxqhjUb18ggBJ473
312z6PZ8wwREck8613PkJk,A Couple Minutes,85,0l8zYqoUeBYg47Gmevq9HZ
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,83,0XKconI47eiBP6qPYHsx9f
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,86,1CmTOKCeyz1aHH04OwvTPv
7AeM1BGYM7emrqmQn1PuWv,I'm The Problem,83,5IZ8sY5FjtL9hloXpv0XbD
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,93,6rpin9IVOuBEWBYnrA9hft
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,92,7aJuG4TFXa2hmE4z1yxc3n
2aVIbkAfhvyTyvIqUAdFBE,Love In A Bottle,80,2UG1520bqCVBeDOkIJH02n
17PifHAE7ZPNqMtJqtearq,Losin' Streak,80,2UG1520bqCVBeDOkIJH02n
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),84,1Ss0ArMRr91m83mOgRBjSZ
3Vd4fHzwS6pBS3muymjiDi,Let Alone The One You Love,86,0l8zYqoUeBYg47Gmevq9HZ
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),79,6vBGI5522jvPi0ZZuGQNp4
2fuYa3Lx06QQJAm0MjztKr,Let Down,89,6dVIqQ8qmQ5GBnJ9shOYGE
5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),91,4a6NzYL1YHRUgx9e3YZI6I
1IcR6RlgvDczfvoWJSSY2A,It's the Most Wonderful Time of the Year,72,30eO7X0doSEWKhDLAFLMuW
5BZsQlgw21vDOAjoqkNgKb,DAISIES,91,5vD5M5VW62LL78Ko8x0CVZ
5DxDLsW6PsLz5gkwC7Mk5S,Free,90,14JkAa6IiFaOh5s0nMyMU9
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,91,1aqg30bNvLSWgShZgX4oop
2262bWmqomIaJXwCRHr13j,Sailor Song,87,68CN2LzY8MoxO2udy2C22e
42VUCXerQ5qTr4Qp6PhKo4,Tears,92,1aqg30bNvLSWgShZgX4oop
1osfLqL6L2iQsirRf83ded,Worst Way,82,1iv2nD5tn753NFkDY79Tb7
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,89,168CdR21lfn0TTyw1Pkdcm
2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,91,4a6NzYL1YHRUgx9e3YZI6I
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,77,3CKVXhODttZebJAzjUs2un
3nAp4IvdMPPWEH9uuXFFV5,Underneath the Tree,80,0t70lpfTyHEv0uuq21fhdZ
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,88,79dL7FLiJFOO0EoehUHQBv
0bxPRWprUVpQK0UFcddkrA,Folded,89,5enIvPn8EEPWMGxzBzxvcm
5UJbgR4XF4y1DvbkxEqe8S,Sports car,86,07V9HO6Djetw5j5lXPylLd
0MHStU0muAIEMbwdnebYu2,Takedown,90,14JkAa6IiFaOh5s0nMyMU9
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,84,0sOeI7pbAmIc8aDFyvkBUW
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,90,0bUTHlWbkSQysoM3VsWldT
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,82,5I48ENiZiaZZSOpec6PdS5
5SruEBX3KpgpDvEcIuN53P,Baby Steps,87,0l8zYqoUeBYg47Gmevq9HZ
7ghKr0pCYyPPyp7t1FH8k4,Les,85,01MRGgNbfWrE291tQjw9ta
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",89,1WAjjRMfZjEXtB0lQrAw6Q
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,87,0BwWUstDMUbgq2NYONRqlu
2x3mwb96B6TquRqMtbxUE1,Actually Romantic,91,4a6NzYL1YHRUgx9e3YZI6I
2cEnKRR4dYBB2VA1mjlb1z,Nevada,80,4ssppGN0Qy4OeJTUDr1Etd
5z0LSDpPpGwc2ZyJHpsE3J,Just In Case,80,5IZ8sY5FjtL9hloXpv0XbD
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),89,2nkto6YNI4rUYTLqEwWJ3o
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,15,2mxFsS5yylSTHNivV53HoA
5ylJtmaWPJ33cW3En7WOu0,Wood,91,4a6NzYL1YHRUgx9e3YZI6I
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,85,0UMMIkurRUmkruZ3KGBLtG
2A22iI0x4EYAVXNpKPhNEM,weren't for the wind,81,4HXwURpJfDooeuEt2bZspn
