video_id,title,views,likes,comments,publishedAt,duration
ajXrjOJg47w,Camera feat. @flamescollective⁩ on ⁨@OfficialGrahamNorton⁩ x,171123,4378,164,2025-11-10T18:20:48Z,PT40S
TkV4pXdJjf4,Ed Sheeran - Camera feat. Flames Collective [Live from the Graham Norton Show],1541197,5823,369,2025-11-08T00:00:39Z,PT3M38S
6zuNGCr12-0,behind the scenes for the Camera music video is up on my channel now. enjoy x,171794,5549,198,2025-10-29T15:34:59Z,PT27S
pJeCx_P8Kxw,Ed Sheeran - The Vow (Amazon Music Songline),281381,6789,411,2025-10-24T14:01:27Z,PT3M34S
32sPcsb9ClQ,Ed Sheeran - Symmetry feat. Karan Aujla (Official Music Video),11622558,167154,6776,2025-10-17T04:00:07Z,PT3M14S
5yhgAq-xnRM,Ed Sheeran - Heaven (feat. Jonita) - Remix [Lyric Video],414130,10134,368,2025-10-16T23:00:06Z,PT4M3S
sr63J3DiS9o,"Ed Sheeran - Don't Look Down (feat. Hanumankind, Dhee, Santhosh Narayanan) - Remix [Lyric Video]",924459,49890,1820,2025-10-16T23:01:05Z,PT4M44S
Quu7Kajlwqc,Symmetry featuring @KaranAujlaOfficial  video and song out Friday with the Play Remixes EP x,330567,9003,167,2025-10-15T15:21:30Z,PT19S
Y8If1soIfxs,Symmetry featuring @KaranAujlaOfficial out Friday x,2779571,58007,412,2025-10-13T15:28:11Z,PT19S
u8c7lSWJSi8,Ed Sheeran - Sapphire (Amazon Music Songline),561408,9782,447,2025-10-10T14:01:34Z,PT3M59S
Z9amhpNNcRM,Played a secret show with @meganmoroney tonight at @KidSuper in Brooklyn x,154082,4900,130,2025-10-07T15:10:54Z,PT42S
I2ibMq0asZA,Ed Sheeran - Camera (KidSuper Studios Presents: Blank Canvas),439519,7453,446,2025-10-03T15:00:25Z,PT4M15S
uUMJ2fZUETs,Camera for ​⁠@amazonmusic Songline x,261862,9050,171,2025-09-15T17:53:35Z,PT41S
-hZH84Ajv2w,Ed Sheeran - Camera (Amazon Music Songline),4806188,11804,669,2025-09-15T17:30:00Z,PT3M30S
i752DxeIi7Q,Ed Sheeran - In Other Words [Lyric Video],1187971,29616,740,2025-09-12T13:30:43Z,PT3M42S
8cDeR2cpBYU,Ed Sheeran - Camera [Lyric Video],599879,8628,287,2025-09-12T13:30:09Z,PT3M35S
AwStG0M5_UA,Ed Sheeran - Problems [Lyric Video],237123,4829,203,2025-09-12T13:30:10Z,PT2M55S
eqK-Gpfl1DI,Ed Sheeran - Symmetry [Lyric Video],796176,9178,480,2025-09-12T13:30:49Z,PT2M50S
tcJe02LBBns,Ed Sheeran - Heaven [Lyric Video],675051,9582,401,2025-09-12T13:31:00Z,PT4M3S
NtmnOkoKcRo,Ed Sheeran - For Always [Lyric Video],376021,6766,196,2025-09-12T13:30:33Z,PT3M27S
lAxW0CSUdIY,Ed Sheeran - Opening [Lyric Video],773007,15363,912,2025-09-12T13:30:48Z,PT3M59S
uzAlNvHNbbw,Ed Sheeran - Camera (Official Behind The Scenes),0,3155,71,2025-09-12T04:05:06Z,PT3M32S
t5s3zrwdQss,Camera official music video premieres on YouTube this Friday 12th Sept 12am ET / 5am BST x,300988,8346,190,2025-09-09T17:15:11Z,PT16S
OOAYWUoQynw,"Mathematics is fully over now, what a finale. Love you all x",484127,16820,360,2025-09-09T13:42:58Z,PT43S
EhfFeJ_tv-4,"When you’ve broken up, but you both still have tickets to the concert",4268516,112966,773,2025-08-31T13:52:15Z,PT1M
_43qgdFF3AQ,Ed Sheeran - A Little More (Official Acoustic Video),1026166,17350,896,2025-08-22T10:00:56Z,PT3M21S
6cGIEeAdS94,"Had a lot of fun making A Little More in the studio, behind the scenes on YouTube now x",296809,8870,144,2025-08-19T15:43:37Z,PT56S
I9NtqqtuMu0,"Had 3 albums not rapping, fans wanted 2011 me to come back. Here we are",457468,16116,340,2025-08-09T14:06:48Z,PT55S
LPLWRJ54CqU,"Rupert, my brother from another mother, thank you for throwing yourself into this. Out now x",534367,19330,396,2025-08-07T15:09:21Z,PT19S
1vRFXsVK0yw,"14 years later me and Rupert are reunited. Out Thursday 4pm BST, watch out for more stuff coming x",443967,11168,226,2025-08-04T15:23:32Z,PT11S
2MEvV3ha1_o,Ed Sheeran - Azizam (Live from Ipswich),698453,11710,655,2025-07-30T16:50:22Z,PT3M48S
s-IN7kpxSGE,So fun rocking Oslo with @thisissigrid hometown hero. She’s one of the coolest x,686789,16319,268,2025-07-27T20:32:26Z,PT59S
NzWkopFJuSw,Ed Sheeran - Sapphire (feat. Arijit Singh) [Lyric Video],3612375,74003,2315,2025-07-25T18:31:22Z,PT3M
wZetXFr5b0s,"Thank you @Official_ArijitSingh for your time, grace and talent. Sapphire feat. Arijit out now x",30560118,868555,1875,2025-07-24T19:04:41Z,PT20S
ncNM_Sx4f24,Ed Sheeran - Making of Sapphire (Studio Behind The Scenes),667276,22276,846,2025-07-02T15:01:26Z,PT10M19S
HHgDlHzz8lg,Day in the life,4122842,99458,720,2025-06-30T17:23:55Z,PT15S
kBbQIv9_7VM,Was gonna go watch Olivia’s show anyway but she hit me and asked to sing The A Team with her.  x,803757,22676,283,2025-06-28T00:56:03Z,PT58S
7z8NdQcxno0,Check out my collection it’s super awesome wicked cool,641467,19276,1198,2025-06-25T14:04:27Z,PT58S
3GvjV7I-DEk,Ed Sheeran - Sapphire (Live from Marseille),5969041,127762,3834,2025-06-24T15:00:05Z,PT4M11S
yfIEOshHSpw,i got asked to do a song for the F1 movie. hope you guys love the end result. drive out now,653308,18895,289,2025-06-20T13:35:40Z,PT30S
8rx6IKbmPhA,Ed Sheeran - Sapphire (Behind The Scenes),792674,39745,1396,2025-06-17T13:00:20Z,PT9M45S
hIrYt2P5jt4,lizzie mcguire flex,559598,12242,218,2025-06-16T16:18:38Z,PT32S
A6_yf77Ow_U,Seeing the sights in Marseille with Soprano,1128290,35170,287,2025-06-08T10:34:34Z,PT36S
aR3HdtTlMjI,Use the Sapphire template to make your own travel vids! Brought to you by YouTube Shorts x,399406923,3715541,8606,2025-06-06T13:00:01Z,PT17S
Lkp-Ow_u0Lg,Sapphire in the stairwell. Out now x,4892954,197937,850,2025-06-05T19:20:34Z,PT24S
JgDNFQ2RaLQ,Ed Sheeran - Sapphire (Official Music Video),216108407,4050016,144847,2025-06-05T18:30:09Z,PT3M4S
m-i8l29fuFk,Sapphire official music video premieres on June 5th at 2:30pm ET / 7:30pm BST / 12am IST !,1024157,47100,448,2025-06-02T13:12:29Z,PT16S
O6pyUvgl9Pk,Ed Sheeran - Azizam (Jams Around The World),801339,21548,883,2025-05-30T15:34:26Z,PT2M37S
gJyTrZAJTbQ,"Sapphire out June 5th, 2:30pm ET / 7:30pm BST / 12am IST",16647969,357727,2781,2025-05-27T14:38:09Z,PT11S
